1750,51306,52538
1823,48875,50091
1828,46457,47648
1966,44061,45207
2022,50091,51306
2038,47648,48875
2135,56118,57425
2293,45207,46457
2323,40445,41548
2465,41548,42810
2473,52538,53709
2522,57425,58602
2657,42810,44061
2664,53709,54904
2675,54904,56118
2817,59704,61042
2950,38107,39175
3056,39175,40445
3147,61042,62225
3225,58602,59704
3550,62225,63385
3593,35722,36816
3706,36816,38107
3756,63385,64605
4189,34657,35722
4518,32229,33253
4715,64605,65574
4834,33253,34657
5086,66598,68039
5266,30996,32229
5442,65574,66598
5484,29991,30996
6235,29022,29991
6353,68039,68828
6485,68828,70093
7027,27999,29022
7069,70093,71159
7422,71159,72343
7687,26978,27999
7789,72343,73533
8338,25783,26978
8682,24866,25783
8876,73533,74312
9505,23688,24866
9692,74312,75229
9733,75229,76647
9911,22765,23688
10338,76647,77716
10713,21753,22765
11379,20833,21753
11758,77716,78193
12171,19535,20833
12192,78193,79380
12493,18528,19535
12697,79380,80534
13199,17767,18528
13966,80534,81052
14187,17248,17767
14240,81052,82430
15309,82430,83101
15414,15972,17248
15843,14953,15972
15978,83101,84150
16559,14109,14953
17218,84150,84617
17450,13982,14109
17721,84617,85863
18802,85863,86479
18961,13231,13982
19684,86479,87322
19903,12428,13231
20653,87322,88061
20803,11593,12428
21685,10629,11593
21846,88061,88492
22481,88492,89696
22486,9678,10629
23316,9488,9678
23774,89696,89957
24642,8747,9488
24828,89957,90554
25610,8219,8747
25873,90554,91163
26706,7681,8219
26904,91163,91796
27792,6752,7681
28027,91796,92258
28684,6677,6752
28734,92258,93561
29994,5718,6677
30212,93280,93561
30898,5718,5792
30987,93280,94537
32180,94537,94857
32244,5288,5792
33295,94857,95366
33344,4240,5288
34262,4240,4251
34602,95327,95366
35551,3911,4251
35700,95327,95879
36718,3808,3911
36860,95879,96251
37946,3156,3808
37976,96251,96802
39036,3156,3368
39297,96520,96802
40324,3107,3368
40412,96520,97107
41503,2190,3107
41670,96986,97107
42583,2190,2428
42824,96986,97437
43849,1798,2428
43965,97437,98106
45006,1798,1997
45244,97657,98106
46253,1993,1997
46468,97564,97657
47474,1993,2246
47646,97564,98208
48699,2246,94967
48869,98208,98211
50085,1906,94967
50091,98162,98211
51127,1906,2151
51304,97906,98162
52335,1640,2151
52509,97702,97906
53590,1640,2207
53715,97601,97702
54768,2207,2625
54932,97601,97612
55942,2625,2869
56127,97396,97612
57128,2666,2869
57376,97396,97551
58391,2666,2852
58487,96846,97551
59596,2852,3311
59734,96846,96918
60741,3311,3708
60909,96612,96918
61892,3708,3808
62083,96306,96612
63122,3808,4576
63240,95945,96306
64157,4576,4990
64590,95945,96197
65289,4750,4990
65604,95372,96197
66661,4750,5633
66765,95007,95372
67624,5633,6031
68035,94904,95007
68769,6031,6666
68884,93777,94904
69811,6666,6715
69964,93234,93777
71130,6715,7647
71225,93064,93234
72021,7647,8233
72295,92486,93064
73079,8233,8904
73590,92312,92486
74086,8904,9531
74615,91636,92312
75118,9531,10165
75670,91010,91636
76145,10165,10636
76223,89626,91010
77287,10636,11644
77690,89623,89626
78053,11644,12011
78215,88272,89623
79290,12011,12624
79365,87788,88272
80160,86845,87788
80358,12624,13808
80950,13808,14206
81422,86462,86845
82215,14206,15160
82540,85880,86462
82992,15160,16082
83175,84768,85880
83789,16082,17002
84030,83902,84768
84581,17002,17952
84802,82956,83902
85337,17952,18729
85407,81867,82956
86286,18729,19810
86657,81349,81867
86881,19810,20499
87106,80139,81349
87881,79207,80139
87962,20499,21301
88436,78112,79207
88927,21301,22417
89214,77184,78112
89468,22417,23778
89623,23778,24493
89743,76085,77184
90749,24493,25466
90976,75433,76085
91294,74203,75433
91496,25466,26795
91619,26795,27805
91838,73118,74203
92293,27805,28779
92846,72278,73118
93054,28779,29869
93152,71065,72278
93447,69863,71065
93594,29869,31110
93789,31110,31955
93791,68694,69863
94387,67633,68694
94677,33357,34350
94926,31955,33357
95066,66593,67633
95279,65381,66593
95336,35681,36667
95503,34350,35681
96114,64372,65381
96220,61874,63137
96243,63137,64372
96262,36667,37802
96687,59502,60825
96720,39065,40262
96743,37802,39065
96933,40262,41446
97054,60825,61874
97110,58351,59502
97210,41446,42616
97398,57169,58351
97447,47503,48681
97530,43855,45042
97592,42616,43855
97652,49909,51130
97755,53545,54811
97852,45042,46243
97898,52338,53545
97913,56010,57169
98119,46243,47503
98217,54811,56010
98222,51130,52338
98399,48681,49909
