98211,50091
98162,51304
97906,52509
97702,53715
97612,56127
97551,58487
96918,60909
96612,62083
96306,63240
96197,65604
95372,66765
95007,68035
94904,68884
93777,69964
93234,71225
93064,72295
92486,73590
92312,74615
91636,75670
91010,76223
89626,77690
89623,78215
88272,79365
87788,80160
86845,81422
86462,82540
85880,83175
84768,84030
83902,84802
82956,85407
81867,86657
81349,87106
80139,87881
79207,88436
78112,89214
77184,89743
76085,90976
75433,91294
74203,91838
73118,92846
72278,93152
71065,93447
69863,93791
68694,94387
67633,95066
66593,95279
65381,96114
64372,96243
61874,97054
59502,97110
58351,97398
57169,97913
56010,98217
52338,98222
49909,98399
