1640,52335
1798,43849
2190,41503
3107,40324
3156,37946
3808,36718
3911,35551
4240,33344
5288,32244
5718,29994
6677,28684
6752,27792
7681,26706
8219,25610
8747,24642
9488,23316
9678,22486
10629,21685
11593,20803
12428,19903
13231,18961
13982,17450
14109,16559
14953,15843
15972,15414
17248,14187
17767,13199
18528,12493
19535,12171
20833,11379
21753,10713
22765,9911
23688,9505
24866,8682
25783,8338
26978,7687
27999,7027
29022,6235
29991,5484
30996,5266
32229,4518
34657,4189
35722,3593
38107,2950
40445,2323
44061,1966
46457,1828
48875,1823
51306,1750
