1640,53590
2207,54768
2625,55942
2666,58391
2852,59596
3311,60741
3708,61892
3808,63122
4576,64157
4750,66661
5633,67624
6031,68769
6666,69811
6715,71130
7647,72021
8233,73079
8904,74086
9531,75118
10165,76145
10636,77287
11644,78053
12011,79290
12624,80358
13808,80950
14206,82215
15160,82992
16082,83789
17002,84581
17952,85337
18729,86286
19810,86881
20499,87962
21301,88927
22417,89468
23778,89623
24493,90749
25466,91496
26795,91619
27805,92293
28779,93054
29869,93594
31110,93789
31955,94926
34350,95503
36667,96262
37802,96743
40262,96933
41446,97210
42616,97592
45042,97852
46243,98119
48681,98399
